Id,SalePrice
1461,121750.90913119903
1462,159492.63777346985
1463,182730.3355842632
1464,187205.91755957252
1465,190727.08502057815
1466,172169.79161398107
1467,175414.1680247201
1468,163326.24298563498
1469,184681.27314903677
1470,127447.67517817498
1471,200750.8002822941
1472,94593.20101059524
1473,93830.87938058765
1474,149041.66192583728
1475,123894.50411990719
1476,396534.07103017473
1477,253369.3388061412
1478,289725.1500450009
1479,287277.2249933571
1480,493006.40165479126
1481,321373.68372669455
1482,212054.84133910478
1483,168703.76077046833
1484,168405.3085696465
1485,179486.75367097158
1486,196633.36967298225
1487,361023.14826242917
1488,237425.05623770878
1489,205230.57771680504
1490,223127.1042514409
1491,189997.05681105063
1492,90684.17848445766
1493,176679.28990469457
1494,297978.9888762626
1495,296349.2189391842
1496,237184.54289279337
1497,185241.32967351898
1498,157650.1921882813
1499,159142.83104790788
1500,150018.03234694607
1501,172404.93421597232
1502,157912.18982216206
1503,310823.71454591013
1504,242028.52165156603
1505,216995.64060553772
1506,184545.799506073
1507,241675.08734093542
1508,204113.2859352458
1509,155737.28167495196
1510,143669.7213082699
1511,143275.3054546511
1512,173425.13340247035
1513,139632.5419602826
1514,164891.9685113721
1515,188479.53529677348
1516,154848.48351559817
1517,164002.97979261764
1518,137985.0281703513
1519,219159.2860230084
1520,133526.93702091151
1521,132140.51525194768
1522,169432.1936667613
1523,108173.64018858345
1524,121730.4000954282
1525,119867.78824362674
1526,115884.95752830766
1527,111570.06956452652
1528,131748.00859843154
1529,141935.76983557135
1530,170647.179894624
1531,117400.25655858465
1532,103086.5303887852
1533,143257.1361935277
1534,120635.38590166124
1535,146406.36932220616
1536,105331.92547321794
1537,71467.72524906715
1538,156628.0433011613
1539,203712.1683041318
1540,100319.48250496558
1541,136951.2440055392
1542,138056.01741886084
1543,213369.84506637283
1544,83216.15620763469
1545,106828.44329630562
1546,129610.45029558937
1547,133668.35148277268
1548,133332.96996079205
1549,113483.34601276362
1550,134998.02030819736
1551,117386.2199556219
1552,146671.348449209
1553,147822.25460190352
1554,112818.93956621079
1555,175260.59896646158
1556,92670.94384750394
1557,105006.12808518468
1558,94049.15835896561
1559,85211.33505770647
1560,129984.72559754265
1561,131962.28813274717
1562,132224.0194108596
1563,117964.2381665023
1564,168709.53658082656
1565,143201.54504259527
1566,240592.6894092586
1567,75928.37722675073
1568,228860.10882223956
1569,147474.69052684883
1570,145376.924076072
1571,129611.05816429497
1572,153485.11170071122
1573,262350.1807820393
1574,112979.95867406692
1575,221110.05116906692
1576,231145.2352079571
1577,194556.9267403411
1578,141084.6352377593
1579,147945.94551599844
1580,193879.77342760982
1581,163890.95030040195
1582,126627.21774877416
1583,326259.9061797866
1584,231086.89542554942
1585,141242.1934268712
1586,78828.3991586784
1587,97602.05994800903
1588,151334.8141332919
1589,96858.01922460561
1590,133172.24244542402
1591,93581.3337237425
1592,116599.08229896394
1593,126343.67653374016
1594,152173.50573262147
1595,106872.09230934676
1596,239860.86556197176
1597,189554.65974487262
1598,202023.6665450108
1599,185499.71167062162
1600,184061.44819045055
1601,74870.48880470467
1602,116367.36866317014
1603,83114.86668561655
1604,276192.5472322849
1605,253304.77414610074
1606,165388.65933308747
1607,168682.3092439436
1608,217017.33163014552
1609,195229.4665076364
1610,151346.4058574962
1611,140161.3953072618
1612,171098.74092533038
1613,161519.67699443066
1614,127410.5619147085
1615,88411.9322943559
1616,69278.34636366552
1617,94127.52571441027
1618,124737.04610223009
1619,142392.27453459264
1620,164153.85610792783
1621,130635.27883832055
1622,137659.60792331817
1623,286877.7056802106
1624,212529.18733202037
1625,127554.96092277704
1626,161140.14912572064
1627,184097.32996136867
1628,276951.9383328637
1629,180748.96179230543
1630,361490.3447218044
1631,222420.0435881884
1632,244786.96816481903
1633,172062.4977809264
1634,182355.0887820477
1635,179393.04365617546
1636,153327.55251152487
1637,194303.04208367912
1638,204921.58114135603
1639,177407.4259131685
1640,253515.87845761565
1641,177468.86404224724
1642,231758.62961703172
1643,232922.03087936147
1644,231590.39900404122
1645,200550.22118821097
1646,158113.87979649304
1647,162614.22026779968
1648,131249.49371375865
1649,139897.64491047582
1650,115580.80743123122
1651,127386.96111757561
1652,99692.42971921725
1653,98686.651364959
1654,149237.83530771424
1655,154162.6507679357
1656,145052.28874272743
1657,147593.52749237383
1658,148376.1369230826
1659,130218.22920631364
1660,156537.90557662936
1661,487871.26603611145
1662,388234.04025745246
1663,393419.60680168984
1664,473343.8867296406
1665,311293.70935510116
1666,336798.6474964445
1667,386932.0291716993
1668,338597.10105640127
1669,300951.1818429191
1670,359750.2528071512
1671,254862.22920189373
1672,453186.73959948466
1673,298619.4907151846
1674,246103.60394496223
1675,184576.41824563584
1676,186788.35453696386
1677,216137.37914010533
1678,445182.3768411823
1679,398700.6012912097
1680,339571.79458577384
1681,258995.0416119056
1682,305575.82080390246
1683,179882.61193689844
